user_id,event_date,platform,country,creative,impressions,clicks,install_flag,subscription_flag,revenue_usd,spend_usd
1,2025-05-01 10:51:00,iOS,USA,Video_UGC_01,773,16,1,0,0.0,4.85
2,2025-05-06 17:48:00,iOS,USA,Video_UGC_01,75,1,0,0,0.0,0.14
3,2025-05-05 06:01:00,iOS,USA,Video_UGC_01,1129,14,1,0,0.0,3.58
4,2025-05-04 01:42:00,iOS,USA,Video_UGC_01,76,3,0,0,0.0,0.58
5,2025-05-04 02:05:00,iOS,USA,Video_UGC_01,1715,32,1,0,0.0,4.98
6,2025-05-07 10:44:00,iOS,USA,Video_UGC_01,451,13,1,0,0.0,3.21
7,2025-05-01 21:49:00,iOS,USA,Video_UGC_01,149,4,1,0,0.0,0.97
8,2025-05-05 03:07:00,iOS,USA,Video_UGC_01,1954,25,1,0,0.0,5.93
9,2025-05-02 10:26:00,iOS,USA,Video_UGC_01,53,1,0,0,0.0,0.21
10,2025-05-01 16:07:00,iOS,USA,Video_UGC_01,256,9,1,0,0.0,3.31
11,2025-05-04 04:34:00,iOS,USA,Video_UGC_01,740,18,1,0,0.0,2.88
12,2025-05-07 17:55:00,iOS,USA,Video_UGC_01,69,3,0,0,0.0,1.91
13,2025-05-06 07:04:00,iOS,USA,Video_UGC_01,481,8,1,0,0.0,1.79
14,2025-05-06 19:23:00,iOS, USA,Video_UGC_01,1142,19,1,0,0.0,3.81
15,2025-05-06 13:58:00,iOS,USA,Video_UGC_01,1150,17,1,0,0.0,4.82
16,2025-05-06 13:18:00,iOS,USA,Video_UGC_01,815,13,1,0,0.0,3.85
17,2025-05-04 04:07:00,iOS,USA,Video_UGC_01,234,7,0,0,0.0,1.64
18,2025-05-01 11:29:00,iOS,USA,Video_UGC_01,227,3,0,0,0.0,1.54
19,2025-05-06 20:30:00,iOS,USA,Video_UGC_01,1995,37,1,0,0.0,9.08
20,2025-05-04 00:39:00,iOS,USA,Video_UGC_01,714,10,1,0,0.0,2.26
21,2025-05-04 18:18:00,iOS,USA,Video_UGC_01,116,1,0,0,0.0,0.84
22,2025-05-03 11:57:00,iOS,USA,Video_UGC_01,2040,26,0,1,29.99,10.48
23,2025-05-02 17:31:00,iOS,USA,Video_UGC_01,106,3,1,0,0.0,0.83
24,2025-05-07 15:17:00,iOS,USA,Video_UGC_01,388,10,1,0,0.0,3.34
25,2025-05-06 10:57:00,iOS,USA,Video_UGC_01,41,1,1,0,0.0,1.92
26,2025-05-05 07:55:00,iOS,USA,Video_UGC_01,131,3,1,0,0.0,1.9
27,2025-05-03 15:29:00,iOS,USA,Video_UGC_01,828,17,1,0,0.0,4.33
28,2025-05-06 03:01:00,iOS,USA,Video_UGC_01,94,3,0,0,0.0,1.03
29,2025-05-04 14:35:00,iOS,USA,Video_UGC_01,139,2,0,0,0.0,0.78
30,2025-05-04 02:33:00,iOS,USA,Video_UGC_01,1324,27,1,0,0.0,5.29
31,2025-05-04 15:08:00,iOS,USA,Video_UGC_01,962,21,1,0,0.0,5.16
32,2025-05-02 15:38:00,iOS,USA,Video_UGC_01,247,7,0,0,0.0,5.29
33,2025-05-01 02:50:00,iOS,USA,Video_UGC_01,18,2,0,0,0.0,0.9
34,2025-05-04 18:06:00,iOS,USA,Video_UGC_01,938,12,1,0,0.0,3.41
35,2025-05-07 09:43:00,iOS,USA,Video_UGC_01,406,4,1,0,0.0,1.14
36,2025-05-01 18:08:00,iOS,USA,Video_UGC_01,382,5,1,0,0.0,1.15
37,2025-05-07 00:44:00,iOS,USA,Video_UGC_01,158,2,0,0,0.0,0.65
38,2025-05-06 04:25:00,iOS,USA,Video_UGC_01,288,6,0,0,0.0,1.61
39,2025-05-02 11:00:00,iOS,USA,Video_UGC_01,1619,27,1,0,0.0,6.4
40,2025-05-05 04:57:00,iOS,USA,Video_UGC_01,600,15,1,0,0.0,10.1
41,2025-05-02 07:09:00,iOS,USA,Video_UGC_01,179,3,0,0,0.0,0.4
42,2025-05-06 15:35:00,iOS,USA,Video_UGC_01,82,3,1,0,0.0,0.88
43,2025-05-05 03:10:00,iOS,USA,Video_UGC_01,1419,23,1,0,0.0,5.23
44,2025-05-03 16:55:00,iOS,USA,Video_UGC_01,1209,15,1,0,0.0,3.64
45,2025-05-01 02:44:00,iOS,USA,Video_UGC_01,2242,49,1,0,29.99,10.19
46,2025-05-07 04:48:00,iOS,USA,Video_UGC_01,623,14,0,0,0.0,3.33
47,2025-05-04 14:25:00,iOS,USA,Video_UGC_01,523,9,1,0,0.0,3.01
48,2025-05-07 19:28:00,iOS,USA,Video_UGC_01,7,1,0,0,0.0,0.78
49,2025-05-05 04:38:00,iOS,USA,Video_UGC_01,31,2,0,0,0.0,0.28
50,2025-05-06 07:47:00,iOS,USA,Video_UGC_01,1682,23,1,0,29.99,10.32
51,2025-05-06 22:50:00,iOS,USA,Video_UGC_01,225,3,1,0,0.0,2.24
52,2025-05-02 23:01:00,iOS,USA,Video_UGC_01,343,7,0,0,0.0,0.94
53,2025-05-03 13:39:00,iOS,USA,Video_UGC_01,534,9,1,0,0.0,1.61
54,2025-05-04 10:06:00,iOS,USA,Video_UGC_01,41,1,0,0,0.0,0.24
55,2025-05-04 08:17:00,iOS,USA,Video_UGC_01,127,2,0,0,0.0,0.81
56,2025-05-01 14:49:00,iOS,USA,Video_UGC_01,892,19,1,0,0.0,6.03
57,2025-05-04 14:15:00,iOS,USA,Video_UGC_01,1022,19,1,0,0.0,5.84
58,2025-05-02 07:47:00,iOS,USA,Video_UGC_01,2245,37,1,0,0.0,14.51
59,2025-05-06 00:27:00,iOS,USA,Video_UGC_01,1225,19,1,0,29.99,3.41
60,2025-05-05 03:13:00,iOS,USA,Video_UGC_01,1996,28,1,0,0.0,3.36
61,2025-05-07 23:20:00,iOS,USA,Video_UGC_01,282,4,1,0,29.99,2.75
62,2025-05-06 10:31:00,iOS,USA,Video_UGC_01,360,6,1,0,0.0,5.73
63,2025-05-03 11:45:00,iOS,USA,Video_UGC_01,662,7,1,0,0.0,3.45
64,2025-05-07 11:36:00,iOS,USA,Video_UGC_01,466,9,1,0,0.0,1.51
65,2025-05-03 18:55:00,iOS,Usa,Video_UGC_01,1277,34,1,0,0.0,8.4
66,2025-05-03 01:52:00,iOS,USA,Video_UGC_01,610,9,1,0,0.0,2.46
67,2025-05-07 01:45:00,iOS,USA,Video_UGC_01,669,11,1,0,0.0,2.84
68,2025-05-03 06:36:00,iOS,USA,Video_UGC_01,775,14,1,0,0.0,2.72
69,2025-05-01 11:17:00,iOS,USA,Video_UGC_01,1660,26,1,0,0.0,6.33
70,2025-05-04 16:24:00,iOS,USA,Video_UGC_01,429,9,1,0,0.0,4.57
71,2025-05-06 11:07:00,iOS,USA,Video_UGC_01,19,2,0,0,0.0,0.2
72,2025-05-02 10:22:00,iOS,USA,Video_UGC_01,1876,29,1,0,0.0,8.52
73,2025-05-04 22:55:00,iOS,USA,Video_UGC_01,527,12,1,0,0.0,4.58
74,2025-05-01 03:25:00,android,USA,Video_UGC_01,466,11,1,0,0.0,5.69
75,2025-05-05 13:06:00,iOS,USA,Video_UGC_01,493,16,1,0,0.0,2.81
76,2025-05-04 13:39:00,iOS,USA,Video_UGC_01,130,1,0,0,0.0,0.88
77,2025-05-03 11:57:00,iOS,USA,Video_UGC_01,52,4,1,0,0.0,1.16
78,2025-05-02 19:52:00,iOS,USA,Video_UGC_01,3339,50,1,0,0.0,11.49
79,2025-05-04 06:16:00,iOS,USA,Video_UGC_01,479,10,1,0,0.0,3.28
80,2025-05-05 22:27:00,iOS,USA,Video_UGC_01,199,2,0,0,0.0,0.15
81,2025-05-07 07:31:00,iOS,USA,Video_UGC_01,733,11,1,0,0.0,3.15
